Movie_id,Title,import_feat
0,Guardians of the Galaxy," Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana James Gunn Action,Adventure,Sci-Fi Guardians of the Galaxy"
1,Prometheus," Noomi Rapace, Logan Marshall-Green, Michael Fassbender, Charlize Theron Ridley Scott Adventure,Mystery,Sci-Fi Prometheus"
2,Split," James McAvoy, Anya Taylor-Joy, Haley Lu Richardson, Jessica Sula M. Night Shyamalan Horror,Thriller Split"
3,Sing," Matthew McConaughey,Reese Witherspoon, Seth MacFarlane, Scarlett Johansson Christophe Lourdelet Animation,Comedy,Family Sing"
4,Suicide Squad," Will Smith, Jared Leto, Margot Robbie, Viola Davis David Ayer Action,Adventure,Fantasy Suicide Squad"
5,The Great Wall," Matt Damon, Tian Jing, Willem Dafoe, Andy Lau Yimou Zhang Action,Adventure,Fantasy The Great Wall"
6,La La Land," Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons Damien Chazelle Comedy,Drama,Music La La Land"
7,Mindhorn," Essie Davis, Andrea Riseborough, Julian Barratt,Kenneth Branagh Sean Foley Comedy Mindhorn"
8,The Lost City of Z," Charlie Hunnam, Robert Pattinson, Sienna Miller, Tom Holland James Gray Action,Adventure,Biography The Lost City of Z"
9,Passengers," Jennifer Lawrence, Chris Pratt, Michael Sheen,Laurence Fishburne Morten Tyldum Adventure,Drama,Romance Passengers"
10,Fantastic Beasts and Where to Find Them," Eddie Redmayne, Katherine Waterston, Alison Sudol,Dan Fogler David Yates Adventure,Family,Fantasy Fantastic Beasts and Where to Find Them"
11,Hidden Figures," Taraji P. Henson, Octavia Spencer, Janelle Monáe,Kevin Costner Theodore Melfi Biography,Drama,History Hidden Figures"
12,Rogue One," Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen Gareth Edwards Action,Adventure,Sci-Fi Rogue One"
13,Moana," Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison Ron Clements Animation,Adventure,Comedy Moana"
14,Colossal," Anne Hathaway, Jason Sudeikis, Austin Stowell,Tim Blake Nelson Nacho Vigalondo Action,Comedy,Drama Colossal"
15,The Secret Life of Pets," Louis C.K., Eric Stonestreet, Kevin Hart, Lake Bell Chris Renaud Animation,Adventure,Comedy The Secret Life of Pets"
16,Hacksaw Ridge," Andrew Garfield, Sam Worthington, Luke Bracey,Teresa Palmer Mel Gibson Biography,Drama,History Hacksaw Ridge"
17,Jason Bourne," Matt Damon, Tommy Lee Jones, Alicia Vikander,Vincent Cassel Paul Greengrass Action,Thriller Jason Bourne"
18,Lion," Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar Garth Davis Biography,Drama Lion"
19,Arrival," Amy Adams, Jeremy Renner, Forest Whitaker,Michael Stuhlbarg Denis Villeneuve Drama,Mystery,Sci-Fi Arrival"
20,Gold," Matthew McConaughey, Edgar Ramírez, Bryce Dallas Howard, Corey Stoll Stephen Gaghan Adventure,Drama,Thriller Gold"
21,Manchester by the Sea," Casey Affleck, Michelle Williams, Kyle Chandler,Lucas Hedges Kenneth Lonergan Drama Manchester by the Sea"
22,Hounds of Love," Emma Booth, Ashleigh Cummings, Stephen Curry,Susie Porter Ben Young Crime,Drama,Horror Hounds of Love"
23,Trolls," Anna Kendrick, Justin Timberlake,Zooey Deschanel, Christopher Mintz-Plasse Walt Dohrn Animation,Adventure,Comedy Trolls"
24,Independence Day: Resurgence," Liam Hemsworth, Jeff Goldblum, Bill Pullman,Maika Monroe Roland Emmerich Action,Adventure,Sci-Fi Independence Day: Resurgence"
25,Paris pieds nus," Fiona Gordon, Dominique Abel,Emmanuelle Riva, Pierre Richard Dominique Abel Comedy Paris pieds nus"
26,Bahubali: The Beginning," Prabhas, Rana Daggubati, Anushka Shetty,Tamannaah Bhatia S.S. Rajamouli Action,Adventure,Drama Bahubali: The Beginning"
27,Dead Awake," Jocelin Donahue, Jesse Bradford, Jesse Borrego,Lori Petty Phillip Guzman Horror,Thriller Dead Awake"
28,Bad Moms," Mila Kunis, Kathryn Hahn, Kristen Bell,Christina Applegate Jon Lucas Comedy Bad Moms"
29,Assassin's Creed," Michael Fassbender, Marion Cotillard, Jeremy Irons,Brendan Gleeson Justin Kurzel Action,Adventure,Drama Assassin's Creed"
30,Why Him?," Zoey Deutch, James Franco, Tangie Ambrose,Cedric the Entertainer John Hamburg Comedy Why Him?"
31,Nocturnal Animals," Amy Adams, Jake Gyllenhaal, Michael Shannon, Aaron Taylor-Johnson Tom Ford Drama,Thriller Nocturnal Animals"
32,X-Men: Apocalypse," James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult Bryan Singer Action,Adventure,Sci-Fi X-Men: Apocalypse"
33,Deadpool," Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein Tim Miller Action,Adventure,Comedy Deadpool"
34,Resident Evil: The Final Chapter," Milla Jovovich, Iain Glen, Ali Larter, Shawn Roberts Paul W.S. Anderson Action,Horror,Sci-Fi Resident Evil: The Final Chapter"
35,Captain America: Civil War," Chris Evans, Robert Downey Jr.,Scarlett Johansson, Sebastian Stan Anthony Russo Action,Adventure,Sci-Fi Captain America: Civil War"
36,Interstellar," Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy Christopher Nolan Adventure,Drama,Sci-Fi Interstellar"
37,Doctor Strange," Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong Scott Derrickson Action,Adventure,Fantasy Doctor Strange"
38,The Magnificent Seven," Denzel Washington, Chris Pratt, Ethan Hawke,Vincent D'Onofrio Antoine Fuqua Action,Adventure,Western The Magnificent Seven"
39,5- 25- 77," John Francis Daley, Austin Pendleton, Colleen Camp, Neil Flynn Patrick Read Johnson Comedy,Drama 5- 25- 77"
40,Sausage Party," Seth Rogen, Kristen Wiig, Jonah Hill, Alistair Abell Greg Tiernan Animation,Adventure,Comedy Sausage Party"
41,Moonlight," Mahershala Ali, Shariff Earp, Duan Sanderson, Alex R. Hibbert Barry Jenkins Drama Moonlight"
42,Don't Fuck in the Woods," Brittany Blanton, Ayse Howard, Roman Jossart,Nadia White Shawn Burkett Horror Don't Fuck in the Woods"
43,The Founder," Michael Keaton, Nick Offerman, John Carroll Lynch, Linda Cardellini John Lee Hancock Biography,Drama,History The Founder"
44,Lowriders," Gabriel Chavarria, Demián Bichir, Theo Rossi,Tony Revolori Ricardo de Montreuil Drama Lowriders"
45,Pirates of the Caribbean: On Stranger Tides," Johnny Depp, Penélope Cruz, Ian McShane, Geoffrey Rush Rob Marshall Action,Adventure,Fantasy Pirates of the Caribbean: On Stranger Tides"
46,Miss Sloane," Jessica Chastain, Mark Strong, Gugu Mbatha-Raw,Michael Stuhlbarg John Madden Drama,Thriller Miss Sloane"
47,Fallen," Hermione Corfield, Addison Timlin, Joely Richardson,Jeremy Irvine Scott Hicks Adventure,Drama,Fantasy Fallen"
48,Star Trek Beyond," Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana Justin Lin Action,Adventure,Sci-Fi Star Trek Beyond"
49,The Last Face," Charlize Theron, Javier Bardem, Adèle Exarchopoulos,Jared Harris Sean Penn Drama The Last Face"
50,Star Wars: Episode VII - The Force Awakens," Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson J.J. Abrams Action,Adventure,Fantasy Star Wars: Episode VII - The Force Awakens"
51,Underworld: Blood Wars," Kate Beckinsale, Theo James, Tobias Menzies, Lara Pulver Anna Foerster Action,Adventure,Fantasy Underworld: Blood Wars"
52,Mother's Day," Jennifer Aniston, Kate Hudson, Julia Roberts, Jason Sudeikis Garry Marshall Comedy,Drama Mother's Day"
53,John Wick," Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe Chad Stahelski Action,Crime,Thriller John Wick"
54,The Dark Knight," Christian Bale, Heath Ledger, Aaron Eckhart,Michael Caine Christopher Nolan Action,Crime,Drama The Dark Knight"
55,Silence," Andrew Garfield, Adam Driver, Liam Neeson,Tadanobu Asano Martin Scorsese Adventure,Drama,History Silence"
56,Don't Breathe," Stephen Lang, Jane Levy, Dylan Minnette, Daniel Zovatto Fede Alvarez Crime,Horror,Thriller Don't Breathe"
57,Me Before You," Emilia Clarke, Sam Claflin, Janet McTeer, Charles Dance Thea Sharrock Drama,Romance Me Before You"
58,Their Finest," Gemma Arterton, Sam Claflin, Bill Nighy, Jack Huston Lone Scherfig Comedy,Drama,Romance Their Finest"
59,Sully," Tom Hanks, Aaron Eckhart, Laura Linney, Valerie Mahaffey Clint Eastwood Biography,Drama Sully"
60,Batman v Superman: Dawn of Justice," Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg Zack Snyder Action,Adventure,Sci-Fi Batman v Superman: Dawn of Justice"
61,The Autopsy of Jane Doe," Brian Cox, Emile Hirsch, Ophelia Lovibond, Michael McElhatton André Øvredal Horror,Mystery,Thriller The Autopsy of Jane Doe"
62,The Girl on the Train," Emily Blunt, Haley Bennett, Rebecca Ferguson, Justin Theroux Tate Taylor Crime,Drama,Mystery The Girl on the Train"
63,Fifty Shades of Grey," Dakota Johnson, Jamie Dornan, Jennifer Ehle,Eloise Mumford Sam Taylor-Johnson Drama,Romance,Thriller Fifty Shades of Grey"
64,The Prestige," Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine Christopher Nolan Drama,Mystery,Sci-Fi The Prestige"
65,Kingsman: The Secret Service," Colin Firth, Taron Egerton, Samuel L. Jackson,Michael Caine Matthew Vaughn Action,Adventure,Comedy Kingsman: The Secret Service"
66,Patriots Day," Mark Wahlberg, Michelle Monaghan, J.K. Simmons, John Goodman Peter Berg Drama,History,Thriller Patriots Day"
67,Mad Max: Fury Road," Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz George Miller Action,Adventure,Sci-Fi Mad Max: Fury Road"
68,Wakefield," Bryan Cranston, Jennifer Garner, Beverly D'Angelo,Jason O'Mara Robin Swicord Drama Wakefield"
69,Deepwater Horizon," Mark Wahlberg, Kurt Russell, Douglas M. Griffin, James DuMont Peter Berg Action,Drama,Thriller Deepwater Horizon"
70,The Promise," Oscar Isaac, Charlotte Le Bon, Christian Bale, Daniel Giménez Cacho Terry George Drama,History The Promise"
71,Allied," Brad Pitt, Marion Cotillard, Jared Harris, Vincent Ebrahim Robert Zemeckis Action,Drama,Romance Allied"
72,A Monster Calls," Lewis MacDougall, Sigourney Weaver, Felicity Jones,Toby Kebbell J.A. Bayona Drama,Fantasy A Monster Calls"
73,Collateral Beauty," Will Smith, Edward Norton, Kate Winslet, Michael Peña David Frankel Drama,Romance Collateral Beauty"
74,Zootopia," Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate Byron Howard Animation,Adventure,Comedy Zootopia"
75,Pirates of the Caribbean: At World's End," Johnny Depp, Orlando Bloom, Keira Knightley,Geoffrey Rush Gore Verbinski Action,Adventure,Fantasy Pirates of the Caribbean: At World's End"
76,The Avengers," Robert Downey Jr., Chris Evans, Scarlett Johansson,Jeremy Renner Joss Whedon Action,Sci-Fi The Avengers"
77,Inglourious Basterds," Brad Pitt, Diane Kruger, Eli Roth,Mélanie Laurent Quentin Tarantino Adventure,Drama,War Inglourious Basterds"
78,Pirates of the Caribbean: Dead Man's Chest," Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport Gore Verbinski Action,Adventure,Fantasy Pirates of the Caribbean: Dead Man's Chest"
79,Ghostbusters," Melissa McCarthy, Kristen Wiig, Kate McKinnon, Leslie Jones Paul Feig Action,Comedy,Fantasy Ghostbusters"
80,Inception," Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Ken Watanabe Christopher Nolan Action,Adventure,Sci-Fi Inception"
81,Captain Fantastic," Viggo Mortensen, George MacKay, Samantha Isler,Annalise Basso Matt Ross Comedy,Drama Captain Fantastic"
82,The Wolf of Wall Street," Leonardo DiCaprio, Jonah Hill, Margot Robbie,Matthew McConaughey Martin Scorsese Biography,Comedy,Crime The Wolf of Wall Street"
83,Gone Girl," Ben Affleck, Rosamund Pike, Neil Patrick Harris,Tyler Perry David Fincher Crime,Drama,Mystery Gone Girl"
84,Furious Seven," Vin Diesel, Paul Walker, Dwayne Johnson, Jason Statham James Wan Action,Crime,Thriller Furious Seven"
85,Jurassic World," Chris Pratt, Bryce Dallas Howard, Ty Simpkins,Judy Greer Colin Trevorrow Action,Adventure,Sci-Fi Jurassic World"
86,Live by Night," Ben Affleck, Elle Fanning, Brendan Gleeson, Chris Messina Ben Affleck Crime,Drama Live by Night"
87,Avatar," Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez James Cameron Action,Adventure,Fantasy Avatar"
88,The Hateful Eight," Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins Quentin Tarantino Crime,Drama,Mystery The Hateful Eight"
89,The Accountant," Ben Affleck, Anna Kendrick, J.K. Simmons, Jon Bernthal Gavin O'Connor Action,Crime,Drama The Accountant"
90,Prisoners," Hugh Jackman, Jake Gyllenhaal, Viola Davis,Melissa Leo Denis Villeneuve Crime,Drama,Mystery Prisoners"
91,Warcraft," Travis Fimmel, Paula Patton, Ben Foster, Dominic Cooper Duncan Jones Action,Adventure,Fantasy Warcraft"
92,The Help," Emma Stone, Viola Davis, Octavia Spencer, Bryce Dallas Howard Tate Taylor Drama The Help"
93,War Dogs," Jonah Hill, Miles Teller, Steve Lantz, Gregg Weiner Todd Phillips Comedy,Crime,Drama War Dogs"
94,Avengers: Age of Ultron," Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth Joss Whedon Action,Adventure,Sci-Fi Avengers: Age of Ultron"
95,The Nice Guys," Russell Crowe, Ryan Gosling, Angourie Rice, Matt Bomer Shane Black Action,Comedy,Crime The Nice Guys"
96,Kimi no na wa," Ryûnosuke Kamiki, Mone Kamishiraishi, Ryô Narita, Aoi Yuki Makoto Shinkai Animation,Drama,Fantasy Kimi no na wa"
97,The Void," Aaron Poole, Kenneth Welsh,Daniel Fathers, Kathleen Munroe Jeremy Gillespie Horror,Mystery,Sci-Fi The Void"
98,Personal Shopper," Kristen Stewart, Lars Eidinger, Sigrid Bouaziz,Anders Danielsen Lie Olivier Assayas Drama,Mystery,Thriller Personal Shopper"
99,The Departed," Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg Martin Scorsese Crime,Drama,Thriller The Departed"
100,Legend," Tom Hardy, Emily Browning, Taron Egerton, Paul Anderson Brian Helgeland Biography,Crime,Drama Legend"
101,Thor," Chris Hemsworth, Anthony Hopkins, Natalie Portman, Tom Hiddleston Kenneth Branagh Action,Adventure,Fantasy Thor"
102,The Martian," Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara Ridley Scott Adventure,Drama,Sci-Fi The Martian"
103,Contratiempo," Mario Casas, Ana Wagener, José Coronado, Bárbara Lennie Oriol Paulo Crime,Mystery,Thriller Contratiempo"
104,The Man from U.N.C.L.E.," Henry Cavill, Armie Hammer, Alicia Vikander, Elizabeth Debicki Guy Ritchie Action,Adventure,Comedy The Man from U.N.C.L.E."
105,Hell or High Water," Chris Pine, Ben Foster, Jeff Bridges, Gil Birmingham David Mackenzie Crime,Drama,Thriller Hell or High Water"
106,The Comedian," Robert De Niro, Leslie Mann, Danny DeVito, Edie Falco Taylor Hackford Comedy The Comedian"
107,The Legend of Tarzan," Alexander Skarsgård, Rory J. Saper, Christian Stevens, Christoph Waltz David Yates Action,Adventure,Drama The Legend of Tarzan"
108,All We Had," Eve Lindley, Richard Kind, Mark Consuelos, Katherine Reis Katie Holmes Drama All We Had"
